Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5/clip_dinov2_10pct_seed1/best.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.295260
T_acc: 0.751898
N_acc: 0.726844

[diagnostics]
num_samples: 19200
mean_precision: 0.462214
mean_recall: 0.430803
mean_f1: 0.437035
exact_set_accuracy: 0.295260
cardinality_accuracy: 0.585885
count_class_accuracy: 0.585885
count_class_evaluated: 19200
micro_precision: 0.478254
micro_recall: 0.328523
micro_f1: 0.389494
total_tp: 9721
total_fp: 10605
total_fn: 19869
no_target_total: 4448
no_target_accuracy: 0.726844
false_grounding_rate: 0.273156
single_target_total: 5917
single_target_localization_accuracy: 0.221396
single_target_exact_accuracy: 0.171878
multi_target_total: 8835
multi_target_mean_f1: 0.446604
multi_target_exact_accuracy: 0.160611

[no-target]
num_samples: 4448
mean_precision: 0.726844
mean_recall: 0.726844
mean_f1: 0.726844
exact_set_accuracy: 0.726844
cardinality_accuracy: 0.726844
count_class_accuracy: 0.726844
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 1672
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.196637
mean_recall: 0.221396
mean_f1: 0.204890
exact_set_accuracy: 0.171878
cardinality_accuracy: 0.464932
count_class_accuracy: 0.464932
count_class_evaluated: 5917
micro_precision: 0.338414
micro_recall: 0.221396
micro_f1: 0.267675
total_tp: 1310
total_fp: 2561
total_fn: 4607

[multi-target]
num_samples: 8835
mean_precision: 0.506848
mean_recall: 0.422006
mean_f1: 0.446604
exact_set_accuracy: 0.160611
cardinality_accuracy: 0.595925
count_class_accuracy: 0.595925
count_class_evaluated: 8835
micro_precision: 0.568964
micro_recall: 0.355299
micro_f1: 0.437435
total_tp: 8411
total_fp: 6372
total_fn: 15262

[target-count 0]
num_samples: 4448
mean_precision: 0.726844
mean_recall: 0.726844
mean_f1: 0.726844
exact_set_accuracy: 0.726844
cardinality_accuracy: 0.726844
count_class_accuracy: 0.726844
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 1672
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.196637
mean_recall: 0.221396
mean_f1: 0.204890
exact_set_accuracy: 0.171878
cardinality_accuracy: 0.464932
count_class_accuracy: 0.464932
count_class_evaluated: 5917
micro_precision: 0.338414
micro_recall: 0.221396
micro_f1: 0.267675
total_tp: 1310
total_fp: 2561
total_fn: 4607

[target-count 2]
num_samples: 5940
mean_precision: 0.517424
mean_recall: 0.505219
mean_f1: 0.509287
exact_set_accuracy: 0.238889
cardinality_accuracy: 0.886364
count_class_accuracy: 0.886364
count_class_evaluated: 5940
micro_precision: 0.557496
micro_recall: 0.505219
micro_f1: 0.530072
total_tp: 6002
total_fp: 4764
total_fn: 5878

[target-count 3+]
num_samples: 2895
mean_precision: 0.485147
mean_recall: 0.251270
mean_f1: 0.317988
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 2895
micro_precision: 0.599701
micro_recall: 0.204274
micro_f1: 0.304744
total_tp: 2409
total_fp: 1608
total_fn: 9384
