Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/siglip2_detector_testA.pt
Checkpoint: checkpoints/stage5_6/siglip2_5pct_seed2_hierarchical/selected.pt
Representation: {'name': 'siglip2', 'model_ids': {'siglip2': 'google/siglip2-base-patch16-224'}, 'candidate_feature_dim': 768, 'text_feature_dim': 768, 'component_normalization': {'siglip2_image': 'l2', 'siglip2_text': 'l2'}, 'fusion': 'none', 'similarity_source': 'normalized SigLIP 2 image/text embeddings', 'encoder_parameters': {'siglip2': {'total': 375187970, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.7
Count logit bias: [1.0, 0.0, 0.0, 2.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.413281
T_acc: 0.976139
N_acc: 0.577338

[diagnostics]
num_samples: 19200
mean_precision: 0.589801
mean_recall: 0.558082
mean_f1: 0.565069
exact_set_accuracy: 0.413281
cardinality_accuracy: 0.737135
count_class_accuracy: 0.764219
count_class_evaluated: 19200
micro_precision: 0.562690
micro_recall: 0.494897
micro_f1: 0.526621
total_tp: 14644
total_fp: 11381
total_fn: 14946
no_target_total: 4448
no_target_accuracy: 0.577338
false_grounding_rate: 0.422662
single_target_total: 5917
single_target_localization_accuracy: 0.556701
single_target_exact_accuracy: 0.522393
multi_target_total: 8835
multi_target_mean_f1: 0.572250
multi_target_exact_accuracy: 0.257612

[no-target]
num_samples: 4448
mean_precision: 0.577338
mean_recall: 0.577338
mean_f1: 0.577338
exact_set_accuracy: 0.577338
cardinality_accuracy: 0.577338
count_class_accuracy: 0.577338
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2032
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.539406
mean_recall: 0.556701
mean_f1: 0.545124
exact_set_accuracy: 0.522393
cardinality_accuracy: 0.910935
count_class_accuracy: 0.910935
count_class_evaluated: 5917
micro_precision: 0.552870
micro_recall: 0.556701
micro_f1: 0.554779
total_tp: 3294
total_fp: 2664
total_fn: 2623

[multi-target]
num_samples: 8835
mean_precision: 0.629827
mean_recall: 0.549311
mean_f1: 0.572250
exact_set_accuracy: 0.257612
cardinality_accuracy: 0.701188
count_class_accuracy: 0.760045
count_class_evaluated: 8835
micro_precision: 0.629332
micro_recall: 0.479449
micro_f1: 0.544260
total_tp: 11350
total_fp: 6685
total_fn: 12323

[target-count 0]
num_samples: 4448
mean_precision: 0.577338
mean_recall: 0.577338
mean_f1: 0.577338
exact_set_accuracy: 0.577338
cardinality_accuracy: 0.577338
count_class_accuracy: 0.577338
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2032
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.539406
mean_recall: 0.556701
mean_f1: 0.545124
exact_set_accuracy: 0.522393
cardinality_accuracy: 0.910935
count_class_accuracy: 0.910935
count_class_evaluated: 5917
micro_precision: 0.552870
micro_recall: 0.556701
micro_f1: 0.554779
total_tp: 3294
total_fp: 2664
total_fn: 2623

[target-count 2]
num_samples: 5940
mean_precision: 0.653519
mean_recall: 0.628451
mean_f1: 0.636101
exact_set_accuracy: 0.352862
cardinality_accuracy: 0.908081
count_class_accuracy: 0.908081
count_class_evaluated: 5940
micro_precision: 0.653536
micro_recall: 0.628451
micro_f1: 0.640748
total_tp: 7466
total_fp: 3958
total_fn: 4414

[target-count 3+]
num_samples: 2895
mean_precision: 0.581216
mean_recall: 0.386931
mean_f1: 0.441241
exact_set_accuracy: 0.062176
cardinality_accuracy: 0.276684
count_class_accuracy: 0.456304
count_class_evaluated: 2895
micro_precision: 0.587506
micro_recall: 0.329348
micro_f1: 0.422082
total_tp: 3884
total_fp: 2727
total_fn: 7909
