Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5_5/clip_dinov2_10pct_seed1_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.6
Count logit bias: [1.0, 0.0, 0.0, 0.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.342500
T_acc: 0.968479
N_acc: 0.494379

[diagnostics]
num_samples: 19200
mean_precision: 0.523605
mean_recall: 0.491913
mean_f1: 0.497604
exact_set_accuracy: 0.342500
cardinality_accuracy: 0.698229
count_class_accuracy: 0.728177
count_class_evaluated: 19200
micro_precision: 0.501936
micro_recall: 0.451132
micro_f1: 0.475180
total_tp: 13349
total_fp: 13246
total_fn: 16241
no_target_total: 4448
no_target_accuracy: 0.494379
false_grounding_rate: 0.505621
single_target_total: 5917
single_target_localization_accuracy: 0.452087
single_target_exact_accuracy: 0.413216
multi_target_total: 8835
multi_target_mean_f1: 0.538408
multi_target_exact_accuracy: 0.218676

[no-target]
num_samples: 4448
mean_precision: 0.494379
mean_recall: 0.494379
mean_f1: 0.494379
exact_set_accuracy: 0.494379
cardinality_accuracy: 0.494379
count_class_accuracy: 0.494379
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2616
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.432624
mean_recall: 0.452087
mean_f1: 0.439102
exact_set_accuracy: 0.413216
cardinality_accuracy: 0.882035
count_class_accuracy: 0.882035
count_class_evaluated: 5917
micro_precision: 0.447849
micro_recall: 0.452087
micro_f1: 0.449958
total_tp: 2675
total_fp: 3298
total_fn: 3242

[multi-target]
num_samples: 8835
mean_precision: 0.599250
mean_recall: 0.517343
mean_f1: 0.538408
exact_set_accuracy: 0.218676
cardinality_accuracy: 0.677759
count_class_accuracy: 0.742841
count_class_evaluated: 8835
micro_precision: 0.592802
micro_recall: 0.450893
micro_f1: 0.512200
total_tp: 10674
total_fp: 7332
total_fn: 12999

[target-count 0]
num_samples: 4448
mean_precision: 0.494379
mean_recall: 0.494379
mean_f1: 0.494379
exact_set_accuracy: 0.494379
cardinality_accuracy: 0.494379
count_class_accuracy: 0.494379
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2616
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.432624
mean_recall: 0.452087
mean_f1: 0.439102
exact_set_accuracy: 0.413216
cardinality_accuracy: 0.882035
count_class_accuracy: 0.882035
count_class_evaluated: 5917
micro_precision: 0.447849
micro_recall: 0.452087
micro_f1: 0.449958
total_tp: 2675
total_fp: 3298
total_fn: 3242

[target-count 2]
num_samples: 5940
mean_precision: 0.614960
mean_recall: 0.589226
mean_f1: 0.597347
exact_set_accuracy: 0.304882
cardinality_accuracy: 0.904209
count_class_accuracy: 0.904209
count_class_evaluated: 5940
micro_precision: 0.617992
micro_recall: 0.589226
micro_f1: 0.603266
total_tp: 7000
total_fp: 4327
total_fn: 4880

[target-count 3+]
num_samples: 2895
mean_precision: 0.567018
mean_recall: 0.369853
mean_f1: 0.417474
exact_set_accuracy: 0.041796
cardinality_accuracy: 0.213126
count_class_accuracy: 0.411744
count_class_evaluated: 2895
micro_precision: 0.550082
micro_recall: 0.311541
micro_f1: 0.397791
total_tp: 3674
total_fp: 3005
total_fn: 8119
