Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testB.pt
Checkpoint: checkpoints/stage5_6/clip_dinov2_1pct_seed1_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.8
Count logit bias: [1.5, 0.0, 0.0, 5.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.246405
T_acc: 0.582002
N_acc: 0.786861

[diagnostics]
num_samples: 16063
mean_precision: 0.348752
mean_recall: 0.392292
mean_f1: 0.360789
exact_set_accuracy: 0.246405
cardinality_accuracy: 0.365623
count_class_accuracy: 0.405155
count_class_evaluated: 16063
micro_precision: 0.245345
micro_recall: 0.242193
micro_f1: 0.243759
total_tp: 5165
total_fp: 15887
total_fn: 16161
no_target_total: 4673
no_target_accuracy: 0.786861
false_grounding_rate: 0.213139
single_target_total: 5646
single_target_localization_accuracy: 0.128941
single_target_exact_accuracy: 0.000177
multi_target_total: 5744
multi_target_mean_f1: 0.302666
multi_target_exact_accuracy: 0.048747

[no-target]
num_samples: 4673
mean_precision: 0.786861
mean_recall: 0.786861
mean_f1: 0.786861
exact_set_accuracy: 0.786861
cardinality_accuracy: 0.786861
count_class_accuracy: 0.786861
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2900
total_fn: 0

[single-target]
num_samples: 5646
mean_precision: 0.045814
mean_recall: 0.128941
mean_f1: 0.067275
exact_set_accuracy: 0.000177
cardinality_accuracy: 0.003897
count_class_accuracy: 0.003897
count_class_evaluated: 5646
micro_precision: 0.143194
micro_recall: 0.128941
micro_f1: 0.135694
total_tp: 728
total_fp: 4356
total_fn: 4918

[multi-target]
num_samples: 5744
mean_precision: 0.290100
mean_recall: 0.330151
mean_f1: 0.302666
exact_set_accuracy: 0.048747
cardinality_accuracy: 0.378482
count_class_accuracy: 0.489032
count_class_evaluated: 5744
micro_precision: 0.339532
micro_recall: 0.282972
micro_f1: 0.308682
total_tp: 4437
total_fp: 8631
total_fn: 11243

[target-count 0]
num_samples: 4673
mean_precision: 0.786861
mean_recall: 0.786861
mean_f1: 0.786861
exact_set_accuracy: 0.786861
cardinality_accuracy: 0.786861
count_class_accuracy: 0.786861
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2900
total_fn: 0

[target-count 1]
num_samples: 5646
mean_precision: 0.045814
mean_recall: 0.128941
mean_f1: 0.067275
exact_set_accuracy: 0.000177
cardinality_accuracy: 0.003897
count_class_accuracy: 0.003897
count_class_evaluated: 5646
micro_precision: 0.143194
micro_recall: 0.128941
micro_f1: 0.135694
total_tp: 728
total_fp: 4356
total_fn: 4918

[target-count 2]
num_samples: 3957
mean_precision: 0.291635
mean_recall: 0.370104
mean_f1: 0.323022
exact_set_accuracy: 0.057619
cardinality_accuracy: 0.348749
count_class_accuracy: 0.344958
count_class_evaluated: 3957
micro_precision: 0.340423
micro_recall: 0.370104
micro_f1: 0.354643
total_tp: 2929
total_fp: 5675
total_fn: 4985

[target-count 3+]
num_samples: 1787
mean_precision: 0.286700
mean_recall: 0.241683
mean_f1: 0.257592
exact_set_accuracy: 0.029099
cardinality_accuracy: 0.444320
count_class_accuracy: 0.808058
count_class_evaluated: 1787
micro_precision: 0.337814
micro_recall: 0.194180
micro_f1: 0.246607
total_tp: 1508
total_fp: 2956
total_fn: 6258
