Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5_6/clip_dinov2_5pct_seed0_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.7
Count logit bias: [1.0, 0.0, 0.0, 2.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.310729
T_acc: 0.943601
N_acc: 0.527203

[diagnostics]
num_samples: 19200
mean_precision: 0.487098
mean_recall: 0.457170
mean_f1: 0.463563
exact_set_accuracy: 0.310729
cardinality_accuracy: 0.691562
count_class_accuracy: 0.717917
count_class_evaluated: 19200
micro_precision: 0.471205
micro_recall: 0.412842
micro_f1: 0.440097
total_tp: 12216
total_fp: 13709
total_fn: 17374
no_target_total: 4448
no_target_accuracy: 0.527203
false_grounding_rate: 0.472797
single_target_total: 5917
single_target_localization_accuracy: 0.358459
single_target_exact_accuracy: 0.318743
multi_target_total: 8835
multi_target_mean_f1: 0.511043
multi_target_exact_accuracy: 0.196378

[no-target]
num_samples: 4448
mean_precision: 0.527203
mean_recall: 0.527203
mean_f1: 0.527203
exact_set_accuracy: 0.527203
cardinality_accuracy: 0.527203
count_class_accuracy: 0.527203
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2523
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.338206
mean_recall: 0.358459
mean_f1: 0.344826
exact_set_accuracy: 0.318743
cardinality_accuracy: 0.820517
count_class_accuracy: 0.820517
count_class_evaluated: 5917
micro_precision: 0.373021
micro_recall: 0.358459
micro_f1: 0.365595
total_tp: 2121
total_fp: 3565
total_fn: 3796

[multi-target]
num_samples: 8835
mean_precision: 0.566623
mean_recall: 0.488020
mean_f1: 0.511043
exact_set_accuracy: 0.196378
cardinality_accuracy: 0.687946
count_class_accuracy: 0.745218
count_class_evaluated: 8835
micro_precision: 0.569824
micro_recall: 0.426435
micro_f1: 0.487811
total_tp: 10095
total_fp: 7621
total_fn: 13578

[target-count 0]
num_samples: 4448
mean_precision: 0.527203
mean_recall: 0.527203
mean_f1: 0.527203
exact_set_accuracy: 0.527203
cardinality_accuracy: 0.527203
count_class_accuracy: 0.527203
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2523
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.338206
mean_recall: 0.358459
mean_f1: 0.344826
exact_set_accuracy: 0.318743
cardinality_accuracy: 0.820517
count_class_accuracy: 0.820517
count_class_evaluated: 5917
micro_precision: 0.373021
micro_recall: 0.358459
micro_f1: 0.365595
total_tp: 2121
total_fp: 3565
total_fn: 3796

[target-count 2]
num_samples: 5940
mean_precision: 0.575795
mean_recall: 0.555387
mean_f1: 0.561767
exact_set_accuracy: 0.269697
cardinality_accuracy: 0.903535
count_class_accuracy: 0.903535
count_class_evaluated: 5940
micro_precision: 0.584774
micro_recall: 0.555387
micro_f1: 0.569702
total_tp: 6598
total_fp: 4685
total_fn: 5282

[target-count 3+]
num_samples: 2895
mean_precision: 0.547804
mean_recall: 0.349796
mean_f1: 0.406967
exact_set_accuracy: 0.045941
cardinality_accuracy: 0.245596
count_class_accuracy: 0.420380
count_class_evaluated: 2895
micro_precision: 0.543603
micro_recall: 0.296532
micro_f1: 0.383738
total_tp: 3497
total_fp: 2936
total_fn: 8296
