Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_detector_testB.pt
Checkpoint: checkpoints/stage5/clip_5pct_seed1/last.pt
Representation: {'name': 'clip', 'model_ids': {'clip': 'ViT-B/32'}, 'candidate_feature_dim': 512, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2'}, 'fusion': 'none', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.281703
T_acc: 0.871730
N_acc: 0.566018

[diagnostics]
num_samples: 16063
mean_precision: 0.405949
mean_recall: 0.385739
mean_f1: 0.387499
exact_set_accuracy: 0.281703
cardinality_accuracy: 0.611654
count_class_accuracy: 0.613958
count_class_evaluated: 16063
micro_precision: 0.349135
micro_recall: 0.292507
micro_f1: 0.318322
total_tp: 6238
total_fp: 11629
total_fn: 15088
no_target_total: 4673
no_target_accuracy: 0.566018
false_grounding_rate: 0.433982
single_target_total: 5646
single_target_localization_accuracy: 0.252568
single_target_exact_accuracy: 0.199965
multi_target_total: 5744
multi_target_mean_f1: 0.392132
multi_target_exact_accuracy: 0.130745

[no-target]
num_samples: 4673
mean_precision: 0.566018
mean_recall: 0.566018
mean_f1: 0.566018
exact_set_accuracy: 0.566018
cardinality_accuracy: 0.566018
count_class_accuracy: 0.566018
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2353
total_fn: 0

[single-target]
num_samples: 5646
mean_precision: 0.226266
mean_recall: 0.252568
mean_f1: 0.235034
exact_set_accuracy: 0.199965
cardinality_accuracy: 0.629826
count_class_accuracy: 0.629826
count_class_evaluated: 5646
micro_precision: 0.278624
micro_recall: 0.252568
micro_f1: 0.264957
total_tp: 1426
total_fp: 3692
total_fn: 4220

[multi-target]
num_samples: 5744
mean_precision: 0.452343
mean_recall: 0.369973
mean_f1: 0.392132
exact_set_accuracy: 0.130745
cardinality_accuracy: 0.630919
count_class_accuracy: 0.637361
count_class_evaluated: 5744
micro_precision: 0.462870
micro_recall: 0.306888
micro_f1: 0.369075
total_tp: 4812
total_fp: 5584
total_fn: 10868

[target-count 0]
num_samples: 4673
mean_precision: 0.566018
mean_recall: 0.566018
mean_f1: 0.566018
exact_set_accuracy: 0.566018
cardinality_accuracy: 0.566018
count_class_accuracy: 0.566018
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2353
total_fn: 0

[target-count 1]
num_samples: 5646
mean_precision: 0.226266
mean_recall: 0.252568
mean_f1: 0.235034
exact_set_accuracy: 0.199965
cardinality_accuracy: 0.629826
count_class_accuracy: 0.629826
count_class_evaluated: 5646
micro_precision: 0.278624
micro_recall: 0.252568
micro_f1: 0.264957
total_tp: 1426
total_fp: 3692
total_fn: 4220

[target-count 2]
num_samples: 3957
mean_precision: 0.458049
mean_recall: 0.441117
mean_f1: 0.446761
exact_set_accuracy: 0.189538
cardinality_accuracy: 0.911549
count_class_accuracy: 0.911549
count_class_evaluated: 3957
micro_precision: 0.467336
micro_recall: 0.441117
micro_f1: 0.453848
total_tp: 3491
total_fp: 3979
total_fn: 4423

[target-count 3+]
num_samples: 1787
mean_precision: 0.439709
mean_recall: 0.212438
mean_f1: 0.271165
exact_set_accuracy: 0.000560
cardinality_accuracy: 0.009513
count_class_accuracy: 0.030218
count_class_evaluated: 1787
micro_precision: 0.451470
micro_recall: 0.170100
micro_f1: 0.247101
total_tp: 1321
total_fp: 1605
total_fn: 6445
