Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5/clip_dinov2_1pct_seed2/last.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.216458
T_acc: 0.961361
N_acc: 0.275405

[diagnostics]
num_samples: 19200
mean_precision: 0.402161
mean_recall: 0.357290
mean_f1: 0.366367
exact_set_accuracy: 0.216458
cardinality_accuracy: 0.581458
count_class_accuracy: 0.581458
count_class_evaluated: 19200
micro_precision: 0.408686
micro_recall: 0.349172
micro_f1: 0.376592
total_tp: 10332
total_fp: 14949
total_fn: 19258
no_target_total: 4448
no_target_accuracy: 0.275405
false_grounding_rate: 0.724595
single_target_total: 5917
single_target_localization_accuracy: 0.320264
single_target_exact_accuracy: 0.261957
multi_target_total: 8835
multi_target_mean_f1: 0.456055
multi_target_exact_accuracy: 0.156310

[no-target]
num_samples: 4448
mean_precision: 0.275405
mean_recall: 0.275405
mean_f1: 0.275405
exact_set_accuracy: 0.275405
cardinality_accuracy: 0.275405
count_class_accuracy: 0.275405
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 3802
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.291110
mean_recall: 0.320264
mean_f1: 0.300828
exact_set_accuracy: 0.261957
cardinality_accuracy: 0.817813
count_class_accuracy: 0.817813
count_class_evaluated: 5917
micro_precision: 0.306386
micro_recall: 0.320264
micro_f1: 0.313171
total_tp: 1895
total_fp: 4290
total_fn: 4022

[multi-target]
num_samples: 8835
mean_precision: 0.540351
mean_recall: 0.423313
mean_f1: 0.456055
exact_set_accuracy: 0.156310
cardinality_accuracy: 0.577250
count_class_accuracy: 0.577250
count_class_evaluated: 8835
micro_precision: 0.551654
micro_recall: 0.356398
micro_f1: 0.433033
total_tp: 8437
total_fp: 6857
total_fn: 15236

[target-count 0]
num_samples: 4448
mean_precision: 0.275405
mean_recall: 0.275405
mean_f1: 0.275405
exact_set_accuracy: 0.275405
cardinality_accuracy: 0.275405
count_class_accuracy: 0.275405
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 3802
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.291110
mean_recall: 0.320264
mean_f1: 0.300828
exact_set_accuracy: 0.261957
cardinality_accuracy: 0.817813
count_class_accuracy: 0.817813
count_class_evaluated: 5917
micro_precision: 0.306386
micro_recall: 0.320264
micro_f1: 0.313171
total_tp: 1895
total_fp: 4290
total_fn: 4022

[target-count 2]
num_samples: 5940
mean_precision: 0.545707
mean_recall: 0.507744
mean_f1: 0.520398
exact_set_accuracy: 0.232492
cardinality_accuracy: 0.858586
count_class_accuracy: 0.858586
count_class_evaluated: 5940
micro_precision: 0.548264
micro_recall: 0.507744
micro_f1: 0.527227
total_tp: 6032
total_fp: 4970
total_fn: 5848

[target-count 3+]
num_samples: 2895
mean_precision: 0.529361
mean_recall: 0.250076
mean_f1: 0.324034
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 2895
micro_precision: 0.560345
micro_recall: 0.203935
micro_f1: 0.299036
total_tp: 2405
total_fp: 1887
total_fn: 9388
