Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/siglip2_detector_testB.pt
Checkpoint: checkpoints/stage5/siglip2_1pct_seed0/best.pt
Representation: {'name': 'siglip2', 'model_ids': {'siglip2': 'google/siglip2-base-patch16-224'}, 'candidate_feature_dim': 768, 'text_feature_dim': 768, 'component_normalization': {'siglip2_image': 'l2', 'siglip2_text': 'l2'}, 'fusion': 'none', 'similarity_source': 'normalized SigLIP 2 image/text embeddings', 'encoder_parameters': {'siglip2': {'total': 375187970, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.314138
T_acc: 0.418349
N_acc: 0.955917

[diagnostics]
num_samples: 16063
mean_precision: 0.387132
mean_recall: 0.387804
mean_f1: 0.385541
exact_set_accuracy: 0.314138
cardinality_accuracy: 0.493992
count_class_accuracy: 0.493992
count_class_evaluated: 16063
micro_precision: 0.352344
micro_recall: 0.164260
micro_f1: 0.224063
total_tp: 3503
total_fp: 6439
total_fn: 17823
no_target_total: 4673
no_target_accuracy: 0.955917
false_grounding_rate: 0.044083
single_target_total: 5646
single_target_localization_accuracy: 0.039143
single_target_exact_accuracy: 0.000000
multi_target_total: 5744
multi_target_mean_f1: 0.274829
multi_target_exact_accuracy: 0.100801

[no-target]
num_samples: 4673
mean_precision: 0.955917
mean_recall: 0.955917
mean_f1: 0.955917
exact_set_accuracy: 0.955917
cardinality_accuracy: 0.955917
count_class_accuracy: 0.955917
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 412
total_fn: 0

[single-target]
num_samples: 5646
mean_precision: 0.019571
mean_recall: 0.039143
mean_f1: 0.026095
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 5646
micro_precision: 0.157407
micro_recall: 0.039143
micro_f1: 0.062695
total_tp: 221
total_fp: 1183
total_fn: 5425

[multi-target]
num_samples: 5744
mean_precision: 0.285689
mean_recall: 0.268332
mean_f1: 0.274829
exact_set_accuracy: 0.100801
cardinality_accuracy: 0.603760
count_class_accuracy: 0.603760
count_class_evaluated: 5744
micro_precision: 0.403889
micro_recall: 0.209311
micro_f1: 0.275729
total_tp: 3282
total_fp: 4844
total_fn: 12398

[target-count 0]
num_samples: 4673
mean_precision: 0.955917
mean_recall: 0.955917
mean_f1: 0.955917
exact_set_accuracy: 0.955917
cardinality_accuracy: 0.955917
count_class_accuracy: 0.955917
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 412
total_fn: 0

[target-count 1]
num_samples: 5646
mean_precision: 0.019571
mean_recall: 0.039143
mean_f1: 0.026095
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 5646
micro_precision: 0.157407
micro_recall: 0.039143
micro_f1: 0.062695
total_tp: 221
total_fp: 1183
total_fn: 5425

[target-count 2]
num_samples: 3957
mean_precision: 0.348244
mean_recall: 0.348244
mean_f1: 0.348244
exact_set_accuracy: 0.146323
cardinality_accuracy: 0.876422
count_class_accuracy: 0.876422
count_class_evaluated: 3957
micro_precision: 0.397347
micro_recall: 0.348244
micro_f1: 0.371178
total_tp: 2756
total_fp: 4180
total_fn: 5158

[target-count 3+]
num_samples: 1787
mean_precision: 0.147174
mean_recall: 0.091382
mean_f1: 0.112265
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 1787
micro_precision: 0.442017
micro_recall: 0.067731
micro_f1: 0.117463
total_tp: 526
total_fp: 664
total_fn: 7240
