Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/siglip2_detector_testB.pt
Checkpoint: checkpoints/stage5/siglip2_5pct_seed2/best.pt
Representation: {'name': 'siglip2', 'model_ids': {'siglip2': 'google/siglip2-base-patch16-224'}, 'candidate_feature_dim': 768, 'text_feature_dim': 768, 'component_normalization': {'siglip2_image': 'l2', 'siglip2_text': 'l2'}, 'fusion': 'none', 'similarity_source': 'normalized SigLIP 2 image/text embeddings', 'encoder_parameters': {'siglip2': {'total': 375187970, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.293781
T_acc: 0.667515
N_acc: 0.750695

[diagnostics]
num_samples: 16063
mean_precision: 0.403007
mean_recall: 0.389829
mean_f1: 0.390493
exact_set_accuracy: 0.293781
cardinality_accuracy: 0.559609
count_class_accuracy: 0.559609
count_class_evaluated: 16063
micro_precision: 0.364430
micro_recall: 0.244725
micro_f1: 0.292816
total_tp: 5219
total_fp: 9102
total_fn: 16107
no_target_total: 4673
no_target_accuracy: 0.750695
false_grounding_rate: 0.249305
single_target_total: 5646
single_target_localization_accuracy: 0.132483
single_target_exact_accuracy: 0.086787
multi_target_total: 5744
multi_target_mean_f1: 0.366033
multi_target_exact_accuracy: 0.125522

[no-target]
num_samples: 4673
mean_precision: 0.750695
mean_recall: 0.750695
mean_f1: 0.750695
exact_set_accuracy: 0.750695
cardinality_accuracy: 0.750695
count_class_accuracy: 0.750695
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 1355
total_fn: 0

[single-target]
num_samples: 5646
mean_precision: 0.109635
mean_recall: 0.132483
mean_f1: 0.117251
exact_set_accuracy: 0.086787
cardinality_accuracy: 0.312256
count_class_accuracy: 0.312256
count_class_evaluated: 5646
micro_precision: 0.231794
micro_recall: 0.132483
micro_f1: 0.168601
total_tp: 748
total_fp: 2479
total_fn: 4898

[multi-target]
num_samples: 5744
mean_precision: 0.408513
mean_recall: 0.349202
mean_f1: 0.366033
exact_set_accuracy: 0.125522
cardinality_accuracy: 0.647284
count_class_accuracy: 0.647284
count_class_evaluated: 5744
micro_precision: 0.459082
micro_recall: 0.285140
micro_f1: 0.351784
total_tp: 4471
total_fp: 5268
total_fn: 11209

[target-count 0]
num_samples: 4673
mean_precision: 0.750695
mean_recall: 0.750695
mean_f1: 0.750695
exact_set_accuracy: 0.750695
cardinality_accuracy: 0.750695
count_class_accuracy: 0.750695
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 1355
total_fn: 0

[target-count 1]
num_samples: 5646
mean_precision: 0.109635
mean_recall: 0.132483
mean_f1: 0.117251
exact_set_accuracy: 0.086787
cardinality_accuracy: 0.312256
count_class_accuracy: 0.312256
count_class_evaluated: 5646
micro_precision: 0.231794
micro_recall: 0.132483
micro_f1: 0.168601
total_tp: 748
total_fp: 2479
total_fn: 4898

[target-count 2]
num_samples: 3957
mean_precision: 0.429618
mean_recall: 0.426333
mean_f1: 0.427428
exact_set_accuracy: 0.182209
cardinality_accuracy: 0.939601
count_class_accuracy: 0.939601
count_class_evaluated: 3957
micro_precision: 0.451251
micro_recall: 0.426333
micro_f1: 0.438438
total_tp: 3374
total_fp: 4103
total_fn: 4540

[target-count 3+]
num_samples: 1787
mean_precision: 0.361780
mean_recall: 0.178409
mean_f1: 0.230083
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 1787
micro_precision: 0.484969
micro_recall: 0.141257
micro_f1: 0.218787
total_tp: 1097
total_fp: 1165
total_fn: 6669
