Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5_6/clip_dinov2_1pct_seed2_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.7
Count logit bias: [1.0, 0.0, 0.0, 2.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.262448
T_acc: 0.799756
N_acc: 0.631295

[diagnostics]
num_samples: 19200
mean_precision: 0.427765
mean_recall: 0.400677
mean_f1: 0.405955
exact_set_accuracy: 0.262448
cardinality_accuracy: 0.578646
count_class_accuracy: 0.611198
count_class_evaluated: 19200
micro_precision: 0.426838
micro_recall: 0.334099
micro_f1: 0.374818
total_tp: 9886
total_fp: 13275
total_fn: 19704
no_target_total: 4448
no_target_accuracy: 0.631295
false_grounding_rate: 0.368705
single_target_total: 5917
single_target_localization_accuracy: 0.199763
single_target_exact_accuracy: 0.163596
multi_target_total: 8835
multi_target_mean_f1: 0.439374
multi_target_exact_accuracy: 0.142954

[no-target]
num_samples: 4448
mean_precision: 0.631295
mean_recall: 0.631295
mean_f1: 0.631295
exact_set_accuracy: 0.631295
cardinality_accuracy: 0.631295
count_class_accuracy: 0.631295
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2065
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.180638
mean_recall: 0.199763
mean_f1: 0.186660
exact_set_accuracy: 0.163596
cardinality_accuracy: 0.507859
count_class_accuracy: 0.507859
count_class_evaluated: 5917
micro_precision: 0.302224
micro_recall: 0.199763
micro_f1: 0.240537
total_tp: 1182
total_fp: 2729
total_fn: 4735

[multi-target]
num_samples: 8835
mean_precision: 0.490804
mean_recall: 0.419128
mean_f1: 0.439374
exact_set_accuracy: 0.142954
cardinality_accuracy: 0.599547
count_class_accuracy: 0.670289
count_class_evaluated: 8835
micro_precision: 0.506488
micro_recall: 0.367676
micro_f1: 0.426061
total_tp: 8704
total_fp: 8481
total_fn: 14969

[target-count 0]
num_samples: 4448
mean_precision: 0.631295
mean_recall: 0.631295
mean_f1: 0.631295
exact_set_accuracy: 0.631295
cardinality_accuracy: 0.631295
count_class_accuracy: 0.631295
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2065
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.180638
mean_recall: 0.199763
mean_f1: 0.186660
exact_set_accuracy: 0.163596
cardinality_accuracy: 0.507859
count_class_accuracy: 0.507859
count_class_evaluated: 5917
micro_precision: 0.302224
micro_recall: 0.199763
micro_f1: 0.240537
total_tp: 1182
total_fp: 2729
total_fn: 4735

[target-count 2]
num_samples: 5940
mean_precision: 0.509529
mean_recall: 0.473485
mean_f1: 0.483393
exact_set_accuracy: 0.192424
cardinality_accuracy: 0.764983
count_class_accuracy: 0.764983
count_class_evaluated: 5940
micro_precision: 0.528268
micro_recall: 0.473485
micro_f1: 0.499379
total_tp: 5625
total_fp: 5023
total_fn: 6255

[target-count 3+]
num_samples: 2895
mean_precision: 0.452385
mean_recall: 0.307599
mean_f1: 0.349055
exact_set_accuracy: 0.041451
cardinality_accuracy: 0.260104
count_class_accuracy: 0.475993
count_class_evaluated: 2895
micro_precision: 0.471011
micro_recall: 0.261087
micro_f1: 0.335952
total_tp: 3079
total_fp: 3458
total_fn: 8714
