Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5_6/clip_dinov2_5pct_seed1_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.925
Count logit bias: [8.0, 0.0, 0.0, 18.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.266406
T_acc: 0.854257
N_acc: 0.650629

[diagnostics]
num_samples: 19200
mean_precision: 0.458602
mean_recall: 0.514802
mean_f1: 0.470904
exact_set_accuracy: 0.266406
cardinality_accuracy: 0.514219
count_class_accuracy: 0.569063
count_class_evaluated: 19200
micro_precision: 0.420081
micro_recall: 0.460527
micro_f1: 0.439375
total_tp: 13627
total_fp: 18812
total_fn: 15963
no_target_total: 4448
no_target_accuracy: 0.650629
false_grounding_rate: 0.349371
single_target_total: 5917
single_target_localization_accuracy: 0.373331
single_target_exact_accuracy: 0.167653
multi_target_total: 8835
multi_target_mean_f1: 0.512735
multi_target_exact_accuracy: 0.139106

[no-target]
num_samples: 4448
mean_precision: 0.650629
mean_recall: 0.650629
mean_f1: 0.650629
exact_set_accuracy: 0.650629
cardinality_accuracy: 0.650629
count_class_accuracy: 0.650629
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 3099
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.239057
mean_recall: 0.373331
mean_f1: 0.273337
exact_set_accuracy: 0.167653
cardinality_accuracy: 0.419976
count_class_accuracy: 0.419976
count_class_evaluated: 5917
micro_precision: 0.295202
micro_recall: 0.373331
micro_f1: 0.329701
total_tp: 2209
total_fp: 5274
total_fn: 3708

[multi-target]
num_samples: 8835
mean_precision: 0.508961
mean_recall: 0.541166
mean_f1: 0.512735
exact_set_accuracy: 0.139106
cardinality_accuracy: 0.508659
count_class_accuracy: 0.627844
count_class_evaluated: 8835
micro_precision: 0.522396
micro_recall: 0.482322
micro_f1: 0.501559
total_tp: 11418
total_fp: 10439
total_fn: 12255

[target-count 0]
num_samples: 4448
mean_precision: 0.650629
mean_recall: 0.650629
mean_f1: 0.650629
exact_set_accuracy: 0.650629
cardinality_accuracy: 0.650629
count_class_accuracy: 0.650629
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 3099
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.239057
mean_recall: 0.373331
mean_f1: 0.273337
exact_set_accuracy: 0.167653
cardinality_accuracy: 0.419976
count_class_accuracy: 0.419976
count_class_evaluated: 5917
micro_precision: 0.295202
micro_recall: 0.373331
micro_f1: 0.329701
total_tp: 2209
total_fp: 5274
total_fn: 3708

[target-count 2]
num_samples: 5940
mean_precision: 0.510522
mean_recall: 0.598569
mean_f1: 0.543227
exact_set_accuracy: 0.162121
cardinality_accuracy: 0.478788
count_class_accuracy: 0.478788
count_class_evaluated: 5940
micro_precision: 0.526741
micro_recall: 0.598569
micro_f1: 0.560362
total_tp: 7111
total_fp: 6389
total_fn: 4769

[target-count 3+]
num_samples: 2895
mean_precision: 0.505757
mean_recall: 0.423386
mean_f1: 0.450172
exact_set_accuracy: 0.091883
cardinality_accuracy: 0.569948
count_class_accuracy: 0.933679
count_class_evaluated: 2895
micro_precision: 0.515376
micro_recall: 0.365217
micro_f1: 0.427494
total_tp: 4307
total_fp: 4050
total_fn: 7486
