Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testA.pt
Checkpoint: checkpoints/stage5_6/clip_dinov2_5pct_seed1_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.7
Count logit bias: [1.0, 0.0, 0.0, 2.0]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.303646
T_acc: 0.956142
N_acc: 0.475495

[diagnostics]
num_samples: 19200
mean_precision: 0.480336
mean_recall: 0.452377
mean_f1: 0.457943
exact_set_accuracy: 0.303646
cardinality_accuracy: 0.686979
count_class_accuracy: 0.716250
count_class_evaluated: 19200
micro_precision: 0.469456
micro_recall: 0.420210
micro_f1: 0.443470
total_tp: 12434
total_fp: 14052
total_fn: 17156
no_target_total: 4448
no_target_accuracy: 0.475495
false_grounding_rate: 0.524505
single_target_total: 5917
single_target_localization_accuracy: 0.378908
single_target_exact_accuracy: 0.331925
multi_target_total: 8835
multi_target_mean_f1: 0.512677
multi_target_exact_accuracy: 0.198189

[no-target]
num_samples: 4448
mean_precision: 0.475495
mean_recall: 0.475495
mean_f1: 0.475495
exact_set_accuracy: 0.475495
cardinality_accuracy: 0.475495
count_class_accuracy: 0.475495
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2734
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.355191
mean_recall: 0.378908
mean_f1: 0.363022
exact_set_accuracy: 0.331925
cardinality_accuracy: 0.845699
count_class_accuracy: 0.845699
count_class_evaluated: 5917
micro_precision: 0.377124
micro_recall: 0.378908
micro_f1: 0.378014
total_tp: 2242
total_fp: 3703
total_fn: 3675

[multi-target]
num_samples: 8835
mean_precision: 0.566586
mean_recall: 0.489942
mean_f1: 0.512677
exact_set_accuracy: 0.198189
cardinality_accuracy: 0.687153
count_class_accuracy: 0.750764
count_class_evaluated: 8835
micro_precision: 0.572359
micro_recall: 0.430533
micro_f1: 0.491418
total_tp: 10192
total_fp: 7615
total_fn: 13481

[target-count 0]
num_samples: 4448
mean_precision: 0.475495
mean_recall: 0.475495
mean_f1: 0.475495
exact_set_accuracy: 0.475495
cardinality_accuracy: 0.475495
count_class_accuracy: 0.475495
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2734
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.355191
mean_recall: 0.378908
mean_f1: 0.363022
exact_set_accuracy: 0.331925
cardinality_accuracy: 0.845699
count_class_accuracy: 0.845699
count_class_evaluated: 5917
micro_precision: 0.377124
micro_recall: 0.378908
micro_f1: 0.378014
total_tp: 2242
total_fp: 3703
total_fn: 3675

[target-count 2]
num_samples: 5940
mean_precision: 0.580856
mean_recall: 0.554293
mean_f1: 0.562667
exact_set_accuracy: 0.265825
cardinality_accuracy: 0.887205
count_class_accuracy: 0.887205
count_class_evaluated: 5940
micro_precision: 0.588104
micro_recall: 0.554293
micro_f1: 0.570698
total_tp: 6585
total_fp: 4612
total_fn: 5295

[target-count 3+]
num_samples: 2895
mean_precision: 0.537305
mean_recall: 0.357905
mean_f1: 0.410105
exact_set_accuracy: 0.059413
cardinality_accuracy: 0.276684
count_class_accuracy: 0.470812
count_class_evaluated: 2895
micro_precision: 0.545688
micro_recall: 0.305859
micro_f1: 0.392001
total_tp: 3607
total_fp: 3003
total_fn: 8186
