Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/clip_dinov2_detector_testB.pt
Checkpoint: checkpoints/stage5_5/clip_dinov2_10pct_seed2_hierarchical/selected.pt
Representation: {'name': 'clip_dinov2', 'model_ids': {'clip': 'ViT-B/32', 'dinov2': 'facebook/dinov2-base'}, 'candidate_feature_dim': 1280, 'text_feature_dim': 512, 'component_normalization': {'clip_image': 'l2', 'clip_text': 'l2', 'dinov2_cls': 'l2'}, 'fusion': 'concatenate normalized CLIP image and DINOv2 CLS features', 'similarity_source': 'normalized CLIP image/text subspace', 'encoder_parameters': {'clip': {'total': 151277313, 'trainable': 0}, 'dinov2': {'total': 86580480, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Count logit bias: [1.0, 0.0, 0.0, 1.5]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.306418
T_acc: 0.950219
N_acc: 0.488337

[diagnostics]
num_samples: 16063
mean_precision: 0.435280
mean_recall: 0.423377
mean_f1: 0.421714
exact_set_accuracy: 0.306418
cardinality_accuracy: 0.665131
count_class_accuracy: 0.705472
count_class_evaluated: 16063
micro_precision: 0.379009
micro_recall: 0.380662
micro_f1: 0.379834
total_tp: 8118
total_fp: 13301
total_fn: 13208
no_target_total: 4673
no_target_accuracy: 0.488337
false_grounding_rate: 0.511663
single_target_total: 5646
single_target_localization_accuracy: 0.347148
single_target_exact_accuracy: 0.315267
multi_target_total: 5744
multi_target_mean_f1: 0.451770
multi_target_exact_accuracy: 0.149721

[no-target]
num_samples: 4673
mean_precision: 0.488337
mean_recall: 0.488337
mean_f1: 0.488337
exact_set_accuracy: 0.488337
cardinality_accuracy: 0.488337
count_class_accuracy: 0.488337
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2656
total_fn: 0

[single-target]
num_samples: 5646
mean_precision: 0.330729
mean_recall: 0.347148
mean_f1: 0.335994
exact_set_accuracy: 0.315267
cardinality_accuracy: 0.831208
count_class_accuracy: 0.831208
count_class_evaluated: 5646
micro_precision: 0.346290
micro_recall: 0.347148
micro_f1: 0.346719
total_tp: 1960
total_fp: 3700
total_fn: 3686

[multi-target]
num_samples: 5744
mean_precision: 0.494882
mean_recall: 0.445457
mean_f1: 0.451770
exact_set_accuracy: 0.149721
cardinality_accuracy: 0.645717
count_class_accuracy: 0.758531
count_class_evaluated: 5744
micro_precision: 0.469969
micro_recall: 0.392730
micro_f1: 0.427891
total_tp: 6158
total_fp: 6945
total_fn: 9522

[target-count 0]
num_samples: 4673
mean_precision: 0.488337
mean_recall: 0.488337
mean_f1: 0.488337
exact_set_accuracy: 0.488337
cardinality_accuracy: 0.488337
count_class_accuracy: 0.488337
count_class_evaluated: 4673
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 2656
total_fn: 0

[target-count 1]
num_samples: 5646
mean_precision: 0.330729
mean_recall: 0.347148
mean_f1: 0.335994
exact_set_accuracy: 0.315267
cardinality_accuracy: 0.831208
count_class_accuracy: 0.831208
count_class_evaluated: 5646
micro_precision: 0.346290
micro_recall: 0.347148
micro_f1: 0.346719
total_tp: 1960
total_fp: 3700
total_fn: 3686

[target-count 2]
num_samples: 3957
mean_precision: 0.511343
mean_recall: 0.483573
mean_f1: 0.491751
exact_set_accuracy: 0.201668
cardinality_accuracy: 0.861511
count_class_accuracy: 0.861259
count_class_evaluated: 3957
micro_precision: 0.514797
micro_recall: 0.483573
micro_f1: 0.498697
total_tp: 3827
total_fp: 3607
total_fn: 4087

[target-count 3+]
num_samples: 1787
mean_precision: 0.458434
mean_recall: 0.361055
mean_f1: 0.363239
exact_set_accuracy: 0.034695
cardinality_accuracy: 0.167879
count_class_accuracy: 0.531058
count_class_evaluated: 1787
micro_precision: 0.411184
micro_recall: 0.300155
micro_f1: 0.347004
total_tp: 2331
total_fp: 3338
total_fn: 5435
