Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/siglip2_detector_testA.pt
Checkpoint: checkpoints/stage5/siglip2_10pct_seed0/best.pt
Representation: {'name': 'siglip2', 'model_ids': {'siglip2': 'google/siglip2-base-patch16-224'}, 'candidate_feature_dim': 768, 'text_feature_dim': 768, 'component_normalization': {'siglip2_image': 'l2', 'siglip2_text': 'l2'}, 'fusion': 'none', 'similarity_source': 'normalized SigLIP 2 image/text embeddings', 'encoder_parameters': {'siglip2': {'total': 375187970, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.5
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.336406
T_acc: 0.723360
N_acc: 0.771358

[diagnostics]
num_samples: 19200
mean_precision: 0.491979
mean_recall: 0.456420
mean_f1: 0.464913
exact_set_accuracy: 0.336406
cardinality_accuracy: 0.600990
count_class_accuracy: 0.600990
count_class_evaluated: 19200
micro_precision: 0.541782
micro_recall: 0.337648
micro_f1: 0.416023
total_tp: 9991
total_fp: 8450
total_fn: 19599
no_target_total: 4448
no_target_accuracy: 0.771358
false_grounding_rate: 0.228642
single_target_total: 5917
single_target_localization_accuracy: 0.257901
single_target_exact_accuracy: 0.229508
multi_target_total: 8835
multi_target_mean_f1: 0.455612
multi_target_exact_accuracy: 0.189021

[no-target]
num_samples: 4448
mean_precision: 0.771358
mean_recall: 0.771358
mean_f1: 0.771358
exact_set_accuracy: 0.771358
cardinality_accuracy: 0.771358
count_class_accuracy: 0.771358
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 1153
total_fn: 0

[single-target]
num_samples: 5917
mean_precision: 0.243705
mean_recall: 0.257901
mean_f1: 0.248437
exact_set_accuracy: 0.229508
cardinality_accuracy: 0.522055
count_class_accuracy: 0.522055
count_class_evaluated: 5917
micro_precision: 0.420270
micro_recall: 0.257901
micro_f1: 0.319648
total_tp: 1526
total_fp: 2105
total_fn: 4391

[multi-target]
num_samples: 8835
mean_precision: 0.517600
mean_recall: 0.430817
mean_f1: 0.455612
exact_set_accuracy: 0.189021
cardinality_accuracy: 0.568081
count_class_accuracy: 0.568081
count_class_evaluated: 8835
micro_precision: 0.619829
micro_recall: 0.357580
micro_f1: 0.453523
total_tp: 8465
total_fp: 5192
total_fn: 15208

[target-count 0]
num_samples: 4448
mean_precision: 0.771358
mean_recall: 0.771358
mean_f1: 0.771358
exact_set_accuracy: 0.771358
cardinality_accuracy: 0.771358
count_class_accuracy: 0.771358
count_class_evaluated: 4448
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 1153
total_fn: 0

[target-count 1]
num_samples: 5917
mean_precision: 0.243705
mean_recall: 0.257901
mean_f1: 0.248437
exact_set_accuracy: 0.229508
cardinality_accuracy: 0.522055
count_class_accuracy: 0.522055
count_class_evaluated: 5917
micro_precision: 0.420270
micro_recall: 0.257901
micro_f1: 0.319648
total_tp: 1526
total_fp: 2105
total_fn: 4391

[target-count 2]
num_samples: 5940
mean_precision: 0.545455
mean_recall: 0.528788
mean_f1: 0.534343
exact_set_accuracy: 0.281145
cardinality_accuracy: 0.844949
count_class_accuracy: 0.844949
count_class_evaluated: 5940
micro_precision: 0.605961
micro_recall: 0.528788
micro_f1: 0.564750
total_tp: 6282
total_fp: 4085
total_fn: 5598

[target-count 3+]
num_samples: 2895
mean_precision: 0.460449
mean_recall: 0.229798
mean_f1: 0.294069
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 2895
micro_precision: 0.663526
micro_recall: 0.185110
micro_f1: 0.289465
total_tp: 2183
total_fp: 1107
total_fn: 9610
